番組	回	タイトル	再生	配信日	再生時間(分)	再生回数
heldio	408	#408. 自己紹介：英語史研究者の堀田隆一です	<a href='https://voicy.jp/channel/1950/354545'>play link</a>	2022/07/13	10	2493
heldio	407	#407. Mr Smith とスミスさん ― 称号は前後どちらに置くか問題	<a href='https://voicy.jp/channel/1950/354081'>play link</a>	2022/07/12	13	1101
heldio	406	#406. 常識は非常識，非常識は常識　―　私の海外体験の最大の成果	<a href='https://voicy.jp/channel/1950/353527'>play link</a>	2022/07/11	25	2663
heldio	405	#405. 英語の「汚い言葉」のはやりすたり	<a href='https://voicy.jp/channel/1950/353022'>play link</a>	2022/07/10	17	1069
heldio	404	#404. 編者鼎談『言語の標準化を考える ― 日中英独仏「対照言語史」の試み』	<a href='https://voicy.jp/channel/1950/352584'>play link</a>	2022/07/09	38	2132
heldio	403	#403. 「大きい」を意味する印欧祖語 *meg の関連語	<a href='https://voicy.jp/channel/1950/351863'>play link</a>	2022/07/08	12	1209
heldio	402	#402. 称号としての Mr, Mrs, Miss	<a href='https://voicy.jp/channel/1950/351513'>play link</a>	2022/07/07	14	1165
heldio	401	#401. 英語のスラングは誰がどのように生み出したのですか	<a href='https://voicy.jp/channel/1950/349845'>play link</a>	2022/07/06	16	1059
heldio	400	#400. 英語と日本語の共通点って何かありますか？	<a href='https://voicy.jp/channel/1950/349832'>play link</a>	2022/07/05	16	1215
heldio	399	#399. 英語学習は「毒を食わば皿まで」で行こう！	<a href='https://voicy.jp/channel/1950/349816'>play link</a>	2022/07/04	22	1882
heldio	398	#398. 英語に関する素朴な疑問　千本ノック --- Part 9	<a href='https://voicy.jp/channel/1950/349468'>play link</a>	2022/07/03	11	1119
heldio	397	#397. 言葉のスタンダードとは何か？ --- 『言語の標準化を考える』へのコメントをお寄せください！	<a href='https://voicy.jp/channel/1950/349113'>play link</a>	2022/07/02	20	1766
heldio	396	#396. なぜ I と eye が同じ発音になるの？	<a href='https://voicy.jp/channel/1950/348455'>play link</a>	2022/07/01	17	1741
heldio	395	#395. NFT「非代替性トークン」の原義は「正式には使えないお印」	<a href='https://voicy.jp/channel/1950/346751'>play link</a>	2022/06/30	13	1026
heldio	394	#394. 小球 (ballot) を投票して大気球 (balloon) へ	<a href='https://voicy.jp/channel/1950/346737'>play link</a>	2022/06/29	13	1067
heldio	393	#393. 朝カル講座の第2回「英語の歴史と世界英語 --- いかにして英語は拡大したのか」	<a href='https://voicy.jp/channel/1950/346708'>play link</a>	2022/06/28	14	1059
heldio	392	"#392. ""familiar stranger"" は撞着語法 (oxymoron)"	<a href='https://voicy.jp/channel/1950/345235'>play link</a>	2022/06/27	12	1078
heldio	391	#391. 英語に関する素朴な疑問　千本ノック --- Part 8	<a href='https://voicy.jp/channel/1950/345211'>play link</a>	2022/06/26	12	1159
heldio	390	#390. 英語に関する素朴な疑問　千本ノック --- Part 7	<a href='https://voicy.jp/channel/1950/345185'>play link</a>	2022/06/25	12	1219
heldio	389	#389. 2022年上半期の英語史活動（hel活）	<a href='https://voicy.jp/channel/1950/344688'>play link</a>	2022/06/24	21	1237
heldio	388	#388. 暗号技術と言語学	<a href='https://voicy.jp/channel/1950/344203'>play link</a>	2022/06/23	13	1433
heldio	387	#387. It is important to study. の構文について英語史してみます	<a href='https://voicy.jp/channel/1950/343460'>play link</a>	2022/06/22	20	1681
heldio	386	#386. 岡本広毅先生との雑談：サイモン・ホロビンの英語史本について語る	<a href='https://voicy.jp/channel/1950/342688'>play link</a>	2022/06/21	40	2938
heldio	385	#385. 「標準英語」とはどこの誰が話す英語のことなの？	<a href='https://voicy.jp/channel/1950/340966'>play link</a>	2022/06/20	24	2094
heldio	384	#384. morning 「朝」と mourning 「喪」は語源的に無関係	<a href='https://voicy.jp/channel/1950/340841'>play link</a>	2022/06/19	13	1870
heldio	383	#383. 本来語に負けてしまったフランス語の例？	<a href='https://voicy.jp/channel/1950/340707'>play link</a>	2022/06/18	11	1531
heldio	382	#382. コーパスから飛び出してきた，いかにも British，いかにも American な単語たち	<a href='https://voicy.jp/channel/1950/340412'>play link</a>	2022/06/17	20	1474
heldio	381	#381. He was a happy and sad girl. ー 昔だったら意味が通ったはずの文	<a href='https://voicy.jp/channel/1950/340336'>play link</a>	2022/06/16	13	1471
heldio	380	#380. なぜ英語の動詞の原形は特定の語尾で終わらないの？	<a href='https://voicy.jp/channel/1950/339141'>play link</a>	2022/06/15	12	1446
heldio	379	#379. 同音異義語と多義語は紙一重	<a href='https://voicy.jp/channel/1950/339107'>play link</a>	2022/06/14	22	2020
heldio	378	#378. 朝カルで「世界英語入門」を開講しました！	<a href='https://voicy.jp/channel/1950/338597'>play link</a>	2022/06/13	13	1055
heldio	377	#377. suggest, collect, direct ー なぜ英語はラテン語の過去分詞を動詞原形として取り入れているの？	<a href='https://voicy.jp/channel/1950/338102'>play link</a>	2022/06/12	16	2052
heldio	376	#376. ケルト語からの借用語	<a href='https://voicy.jp/channel/1950/337040'>play link</a>	2022/06/11	13	2067
heldio	375	#375. 接尾辞 -ing には3種類あるって知っていましたか？	<a href='https://voicy.jp/channel/1950/337017'>play link</a>	2022/06/10	15	1787
heldio	374	#374. ラテン語から借用された前置詞 per, plus, via	<a href='https://voicy.jp/channel/1950/336501'>play link</a>	2022/06/09	13	2108
heldio	373	#373. みんなのお金の話≒みんなの言葉の話！？	<a href='https://voicy.jp/channel/1950/335549'>play link</a>	2022/06/08	19	1805
heldio	372	"#372. 環境にいいこと ""eco-friendly"" ― 家庭から始めましょうかね"	<a href='https://voicy.jp/channel/1950/335506'>play link</a>	2022/06/07	22	1947
heldio	371	#371. なぜ付加疑問では肯定・否定がひっくり返るのですか？ --- リスナーさんからの質問	<a href='https://voicy.jp/channel/1950/334569'>play link</a>	2022/06/06	22	1702
heldio	370	#370. 英語語彙のなかのフランス借用語の割合は？ --- リスナーさんからの質問	<a href='https://voicy.jp/channel/1950/334442'>play link</a>	2022/06/05	13	1763
heldio	369	#369. 英語に関する素朴な疑問　千本ノック --- Part 6	<a href='https://voicy.jp/channel/1950/333609'>play link</a>	2022/06/04	18	1875
heldio	368	#368. 英語とフランス語で似ている単語がある場合の5つのパターン	<a href='https://voicy.jp/channel/1950/333377'>play link</a>	2022/06/03	20	5211
heldio	367	#367. 私の息抜き・気晴らし (disport) は運動 (sport) です ― これも2重語	<a href='https://voicy.jp/channel/1950/332265'>play link</a>	2022/06/02	14	2152
heldio	366	"#366. 才能を引き出すための ""education"" 「教育」の本来の意味は？"	<a href='https://voicy.jp/channel/1950/332021'>play link</a>	2022/06/01	17	2088
heldio	365	#365. ちぐはぐチャンネル --- 英語の機微を楽しむ極上の遊び・学び	<a href='https://voicy.jp/channel/1950/330998'>play link</a>	2022/05/31	11	1172
heldio	364	#364. YouTube での「go/went 合い言葉説」への反応を受けまして	<a href='https://voicy.jp/channel/1950/330993'>play link</a>	2022/05/30	14	1974
heldio	363	#363. 『言語の標準化を考える』より英語標準化の2本の論考を紹介します	<a href='https://voicy.jp/channel/1950/330951'>play link</a>	2022/05/29	14	1530
heldio	362	#362. de Gaulle, von Bismarck, van Gogh のような貴族名に対応する of --- という英語名はなぜないのですか？	<a href='https://voicy.jp/channel/1950/330022'>play link</a>	2022/05/28	11	862
heldio	361	#361. 『言語の標準化を考える --- 日中英独仏「対照言語史」の試み』の読みどころ	<a href='https://voicy.jp/channel/1950/329866'>play link</a>	2022/05/27	11	908
heldio	360	#360. 英語に関する素朴な疑問　千本ノック --- Part 5	<a href='https://voicy.jp/channel/1950/329399'>play link</a>	2022/05/26	11	1042
heldio	359	#359. 総合的な古英語から分析的な現代英語へ --- 英文法の一大変化	<a href='https://voicy.jp/channel/1950/327343'>play link</a>	2022/05/25	14	2134
heldio	358	#358. 英語のスペリングを研究しているのにスペリングが下手になってきまして	<a href='https://voicy.jp/channel/1950/327339'>play link</a>	2022/05/24	11	1044
heldio	357	#357. 英語の単語間にスペースを置くことを当たり前だと思っていませんか？	<a href='https://voicy.jp/channel/1950/327332'>play link</a>	2022/05/23	21	1774
heldio	356	#356. 世界英語入門 --- 朝カル新宿教室で「英語の歴史と世界英語」のシリーズが始まります	<a href='https://voicy.jp/channel/1950/327302'>play link</a>	2022/05/22	13	1110
heldio	355	#355. sharp と flat は反対語でもあり類義語でもある	<a href='https://voicy.jp/channel/1950/326296'>play link</a>	2022/05/21	11	952
heldio	354	#354. long と short は対等な反対語ではない？	<a href='https://voicy.jp/channel/1950/326278'>play link</a>	2022/05/20	10	575
heldio	353	#353. 反対語っていろいろあっておもしろい！	<a href='https://voicy.jp/channel/1950/325676'>play link</a>	2022/05/19	11	937
heldio	352	#352. Sir William Jones --- 語学の天才にして近代言語学・比較言語学の祖	<a href='https://voicy.jp/channel/1950/325186'>play link</a>	2022/05/18	11	1454
heldio	351	#351. 英語に関する素朴な疑問　千本ノック --- Part 4	<a href='https://voicy.jp/channel/1950/324142'>play link</a>	2022/05/17	10	952
heldio	350	#350. 英語に関する素朴な疑問　千本ノック --- Part 3	<a href='https://voicy.jp/channel/1950/324126'>play link</a>	2022/05/16	12	1363
heldio	349	#349. 市川誠先生との対談　「ウスター」と「カステラ」，「レスター」と「リア王」	<a href='https://voicy.jp/channel/1950/323709'>play link</a>	2022/05/15	13	1164
heldio	348	#348. 「すなわち」を意味する viz. はどこから来たの？	<a href='https://voicy.jp/channel/1950/323425'>play link</a>	2022/05/14	10	828
heldio	347	#347. 「何カ国語話せますか」と「アイヌ語は外国語」　何か変では？	<a href='https://voicy.jp/channel/1950/322688'>play link</a>	2022/05/13	11	772
heldio	346	#346. 母語と母国語は違います！	<a href='https://voicy.jp/channel/1950/322246'>play link</a>	2022/05/12	11	963
heldio	345	#345. Good morning! そういえば挨拶のような決まり文句は無冠詞が多いですね	<a href='https://voicy.jp/channel/1950/321089'>play link</a>	2022/05/11	9	1425
heldio	344	#344. the virtual world of a virile werewolf 「男らしい狼男のヴァーチャルな世界」 --- 同根語4連発	<a href='https://voicy.jp/channel/1950/321112'>play link</a>	2022/05/10	11	1270
heldio	343	#343. 前置詞とは何？なぜこんなにいろいろあるの？	<a href='https://voicy.jp/channel/1950/320516'>play link</a>	2022/05/09	15	2593
heldio	342	#342. 英語に関する素朴な疑問　千本ノック --- 続き	<a href='https://voicy.jp/channel/1950/320141'>play link</a>	2022/05/08	11	956
heldio	341	#341. 英語に関する素朴な疑問　千本ノック	<a href='https://voicy.jp/channel/1950/319675'>play link</a>	2022/05/07	14	2057
heldio	340	#340. second, sect, sequence, sue, suit はすべて同語根！	<a href='https://voicy.jp/channel/1950/319251'>play link</a>	2022/05/06	11	1593
heldio	339	#339. 最古の英語か？　ノロジカの骨にルーン文字で彫られた語の意味はなんと…	<a href='https://voicy.jp/channel/1950/318863'>play link</a>	2022/05/05	10	1147
heldio	338	#338. fine と finish は同語源 --- 鍵は「切り裂く」！？	<a href='https://voicy.jp/channel/1950/318541'>play link</a>	2022/05/04	12	1980
heldio	337	#337. 英語史上最初の英英辞書は Robert Cawdrey の A Table Alphabeticall (1604)	<a href='https://voicy.jp/channel/1950/318093'>play link</a>	2022/05/03	13	1745
heldio	336	#336. 18世紀半ばに英文法を作り上げた Robert Lowth とはいったい何者？	<a href='https://voicy.jp/channel/1950/317507'>play link</a>	2022/05/02	12	1706
heldio	335	#335. cow と beef と butter が同語根って冗談ですか？	<a href='https://voicy.jp/channel/1950/317102'>play link</a>	2022/05/01	14	2395
heldio	334	#334. ambiguous about amphibians 「両生類に関してあいまい」って何のこと？　語源的共通項をもつ3語	<a href='https://voicy.jp/channel/1950/316746'>play link</a>	2022/04/30	11	2242
heldio	333	#333. 英語には借用語がやたらと多い！英語語彙にまつわる統計あれこれ	<a href='https://voicy.jp/channel/1950/316124'>play link</a>	2022/04/29	10	662
heldio	332	#332. north はノースなのに，northern だとノーザンと濁るわけは？	<a href='https://voicy.jp/channel/1950/315475'>play link</a>	2022/04/28	16	760
heldio	331	#331. 長い間英語には標準語がなかったって本当！？	<a href='https://voicy.jp/channel/1950/314886'>play link</a>	2022/04/27	10	603
heldio	330	#330. 中英語をちょっとだけ音読　チョーサーの『カンタベリ物語』の冒頭より	<a href='https://voicy.jp/channel/1950/314574'>play link</a>	2022/04/26	12	2716
heldio	329	#329. フランス語を学び始めるならば，ぜひ英語史概説も合わせて！	<a href='https://voicy.jp/channel/1950/314005'>play link</a>	2022/04/25	10	644
heldio	328	#328. 「超弩級」の「弩」は Dreadnought の D	<a href='https://voicy.jp/channel/1950/313485'>play link</a>	2022/04/24	10	420
heldio	327	#327. 新年度にフランス語を学び始めている皆さんへ，英語史を合わせて学ぶと絶対に学びがおもしろくなると約束します！	<a href='https://voicy.jp/channel/1950/313109'>play link</a>	2022/04/23	10	753
heldio	326	#326. どうして古英語の発音がわかるのですか？	<a href='https://voicy.jp/channel/1950/312650'>play link</a>	2022/04/22	10	1302
heldio	325	#325. なぜ世界の人々は英語を学んでいるの？	<a href='https://voicy.jp/channel/1950/311937'>play link</a>	2022/04/21	10	501
heldio	324	#324. 条件節にも帰結節にも would have done が現われる非標準的な仮定法過去完了	<a href='https://voicy.jp/channel/1950/310883'>play link</a>	2022/04/20	10	458
heldio	323	"#323. 中山匡美先生との対談　singular ""they"" は19世紀でも普通に使われていた！"	<a href='https://voicy.jp/channel/1950/310857'>play link</a>	2022/04/19	10	504
heldio	322	#322. butter, cheese, pepper ー 大陸時代に英語に入っていたラテン単語たち	<a href='https://voicy.jp/channel/1950/310400'>play link</a>	2022/04/18	10	521
heldio	321	#321. 古英語をちょっとだけ音読　マタイ伝「岩の上に家を建てる」寓話より	<a href='https://voicy.jp/channel/1950/308968'>play link</a>	2022/04/17	10	863
heldio	320	#320. 田辺春美先生との対談　かつても英語史のラジオ番組があった！？	<a href='https://voicy.jp/channel/1950/309374'>play link</a>	2022/04/16	10	450
heldio	319	#319. employee の ee って何？	<a href='https://voicy.jp/channel/1950/308928'>play link</a>	2022/04/15	10	567
heldio	318	#318. can't, cannot, can not ー どれを使えばよいの？	<a href='https://voicy.jp/channel/1950/307955'>play link</a>	2022/04/14	10	575
heldio	317	#317. dream, bloom, dwell ー 意味を借りた「意味借用」	<a href='https://voicy.jp/channel/1950/307346'>play link</a>	2022/04/13	10	660
heldio	316	#316. 井上逸兵先生との対談　YouTube を始めて1月半になりますが	<a href='https://voicy.jp/channel/1950/307251'>play link</a>	2022/04/12	10	419
heldio	315	#315. 和田忍先生との対談　Baugh and Cable の英語史概説書を語る	<a href='https://voicy.jp/channel/1950/303844'>play link</a>	2022/04/10	10	390
heldio	314	#314. 唐澤一友先生との対談　今なぜ世界英語への関心が高まっているのか？	<a href='https://voicy.jp/channel/1950/305932'>play link</a>	2022/04/09	10	519
heldio	313	#313. 泉類尚貴先生との対談　手に取って欲しい原書の英語史概説書3冊	<a href='https://voicy.jp/channel/1950/303077'>play link</a>	2022/04/09	10	448
heldio	312	#312. 古田直肇先生との対談　標準英語幻想について語る	<a href='https://voicy.jp/channel/1950/304727'>play link</a>	2022/04/08	10	484
heldio	311	#311. 矢冨弘先生との対談　グラスゴー大学話しを1つ	<a href='https://voicy.jp/channel/1950/304180'>play link</a>	2022/04/07	10	431
heldio	310	#310. 山本史歩子先生との対談　英語教員を目指す大学生への英語史のすすめ	<a href='https://voicy.jp/channel/1950/304158'>play link</a>	2022/04/06	10	512
heldio	309	#309. khelf 会長「まさにゃん」による「第一回古英語模試」	<a href='https://voicy.jp/channel/1950/303715'>play link</a>	2022/04/05	10	420
heldio	308	#308. khelf 会長「まさにゃん」による「英語史コンテンツ50」の紹介	<a href='https://voicy.jp/channel/1950/302775'>play link</a>	2022/04/04	10	406
heldio	307	#307. khelf 会長「まさにゃん」による『英語史新聞』の紹介	<a href='https://voicy.jp/channel/1950/302747'>play link</a>	2022/04/03	10	442
heldio	306	#306. 市川誠先生との対談　長万部はイングランドか！？	<a href='https://voicy.jp/channel/1950/299074'>play link</a>	2022/04/02	10	467
heldio	305	#305. 初年度初日から走り出します！　「英語史スタートアップ」企画	<a href='https://voicy.jp/channel/1950/301809'>play link</a>	2022/04/01	10	441
heldio	304	#304. 構造主義言語学とはマトリックス思考である	<a href='https://voicy.jp/channel/1950/301313'>play link</a>	2022/03/31	10	469
heldio	303	#303. 私の英語史関連の活動　2021年度から2022年度へ	<a href='https://voicy.jp/channel/1950/300750'>play link</a>	2022/03/30	10	409
heldio	302	#302. 疑問詞 what の副詞用法？	<a href='https://voicy.jp/channel/1950/300020'>play link</a>	2022/03/29	10	509
heldio	301	#301. was と were の関係について整理しておきましょう	<a href='https://voicy.jp/channel/1950/299603'>play link</a>	2022/03/28	10	647
heldio	300	#300. なぜ Wednesday には読まない d があるの？	<a href='https://voicy.jp/channel/1950/299161'>play link</a>	2022/03/27	10	679
heldio	299	#299. 曜日名の語源	<a href='https://voicy.jp/channel/1950/298681'>play link</a>	2022/03/26	10	815
heldio	298	#298. 英語の諺 ― 真逆の教訓はやめて欲しい！？	<a href='https://voicy.jp/channel/1950/298247'>play link</a>	2022/03/25	10	454
heldio	297	#297. クルミの walnut は「外国のナッツ」	<a href='https://voicy.jp/channel/1950/297668'>play link</a>	2022/03/24	10	441
heldio	296	#296. 英語のアルファベットは常に26文字だったと思っていませんか？	<a href='https://voicy.jp/channel/1950/296595'>play link</a>	2022/03/23	10	545
heldio	295	#295. 発話行為の比較文化	<a href='https://voicy.jp/channel/1950/296602'>play link</a>	2022/03/22	10	444
heldio	294	#294. 古英語には「謝罪」がなかった！	<a href='https://voicy.jp/channel/1950/296217'>play link</a>	2022/03/21	10	512
heldio	293	#293. 「性交」を表わす語を上から下まで	<a href='https://voicy.jp/channel/1950/295398'>play link</a>	2022/03/20	10	472
heldio	292	#292. 一般に「人々」を意味する you の起源	<a href='https://voicy.jp/channel/1950/295319'>play link</a>	2022/03/19	10	517
heldio	291	#291. 雄牛 ox の複数形は oxen	<a href='https://voicy.jp/channel/1950/294731'>play link</a>	2022/03/18	10	611
heldio	290	#290. 古英語は無礼な言語だった？	<a href='https://voicy.jp/channel/1950/294270'>play link</a>	2022/03/17	10	500
heldio	289	#289. three にまつわる語源あれこれ ― contest も？	<a href='https://voicy.jp/channel/1950/293235'>play link</a>	2022/03/16	10	644
heldio	288	#288. three にまつわる語源あれこれ ― グリムの法則！	<a href='https://voicy.jp/channel/1950/293224'>play link</a>	2022/03/15	10	818
heldio	287	#287. 英語の方言差別の歴史	<a href='https://voicy.jp/channel/1950/292686'>play link</a>	2022/03/14	10	513
heldio	286	#286. show の意味、発音、綴字の謎	<a href='https://voicy.jp/channel/1950/292413'>play link</a>	2022/03/13	10	457
heldio	285	#285. lower, better ― 比較級が動詞に品詞転換	<a href='https://voicy.jp/channel/1950/291866'>play link</a>	2022/03/12	10	487
heldio	284	#284. soothe 「なだめる」の驚きの原義	<a href='https://voicy.jp/channel/1950/291431'>play link</a>	2022/03/11	10	487
heldio	283	#283. please 「どうか」の語源	<a href='https://voicy.jp/channel/1950/290928'>play link</a>	2022/03/10	10	519
heldio	282	#282. 大母音推移（後編）	<a href='https://voicy.jp/channel/1950/289771'>play link</a>	2022/03/09	10	782
heldio	281	#281. 大母音推移（前編）	<a href='https://voicy.jp/channel/1950/289711'>play link</a>	2022/03/08	10	946
heldio	280	#280. 言語にとってもっとも重要な「意味」はどう研究されてきたの？	<a href='https://voicy.jp/channel/1950/289383'>play link</a>	2022/03/07	10	491
heldio	279	#279. 英語スペリングの原理らしくない原理7点	<a href='https://voicy.jp/channel/1950/288842'>play link</a>	2022/03/06	10	563
heldio	278	#278. 中英語の人名のトレンド	<a href='https://voicy.jp/channel/1950/288397'>play link</a>	2022/03/05	10	450
heldio	277	#277. 「どうしても」の副詞 needs	<a href='https://voicy.jp/channel/1950/287994'>play link</a>	2022/03/04	10	452
heldio	276	#276. Ebonics 論争	<a href='https://voicy.jp/channel/1950/287415'>play link</a>	2022/03/03	10	440
heldio	275	#275. どれだけ長くかかっているのよ、OED の編纂？	<a href='https://voicy.jp/channel/1950/286827'>play link</a>	2022/03/02	10	422
heldio	274	#274. 不定指示形容詞の this	<a href='https://voicy.jp/channel/1950/286172'>play link</a>	2022/03/01	10	440
heldio	273	#273. 「支配権」 ― 今だから知っておきたい danger の原義	<a href='https://voicy.jp/channel/1950/285635'>play link</a>	2022/02/28	10	472
heldio	272	#272. 井上逸兵先生と YouTube を開始、そして二重否定の話し	<a href='https://voicy.jp/channel/1950/285246'>play link</a>	2022/02/27	10	454
heldio	271	#271. ウクライナ（語）について	<a href='https://voicy.jp/channel/1950/284833'>play link</a>	2022/02/26	10	670
heldio	270	#270. cheap の語源	<a href='https://voicy.jp/channel/1950/284207'>play link</a>	2022/02/25	10	476
heldio	269	#269. 英語の世界化はビール愛から始まった！？	<a href='https://voicy.jp/channel/1950/283875'>play link</a>	2022/02/24	10	458
heldio	268	#268. 母音字が4つ続く妙な綴字の queue	<a href='https://voicy.jp/channel/1950/282784'>play link</a>	2022/02/23	10	490
heldio	267	#267. 「行列」の queue と line	<a href='https://voicy.jp/channel/1950/282771'>play link</a>	2022/02/22	10	463
heldio	266	#266. -ly の語源は「体」	<a href='https://voicy.jp/channel/1950/282071'>play link</a>	2022/02/21	10	498
heldio	265	#265. 諺 Handsome is as handsome does	<a href='https://voicy.jp/channel/1950/281863'>play link</a>	2022/02/20	10	453
heldio	264	#264. hospital の h も200年前には読まれなかった？	<a href='https://voicy.jp/channel/1950/281396'>play link</a>	2022/02/19	10	479
heldio	263	"#263. ""you guys"" の guy の語源"	<a href='https://voicy.jp/channel/1950/280721'>play link</a>	2022/02/18	10	537
heldio	262	#262. 「for ＋ 形容詞」は中英語からの伝統的用法	<a href='https://voicy.jp/channel/1950/279917'>play link</a>	2022/02/17	10	533
heldio	261	#261. 「剥奪の of」の歴史ミステリー	<a href='https://voicy.jp/channel/1950/279350'>play link</a>	2022/02/16	10	586
heldio	260	#260. 英語史を通じて前置詞はどんどん増えてきた	<a href='https://voicy.jp/channel/1950/279316'>play link</a>	2022/02/15	10	688
heldio	259	#259. now that ― that を添えて接続詞を作ろう	<a href='https://voicy.jp/channel/1950/278748'>play link</a>	2022/02/14	10	500
heldio	258	#258. 近代まで使われていた関係代名詞 the which	<a href='https://voicy.jp/channel/1950/278247'>play link</a>	2022/02/13	10	599
heldio	257	#257. fox に対してメギツネは vixen	<a href='https://voicy.jp/channel/1950/277882'>play link</a>	2022/02/12	10	471
heldio	256	#256. cats and dogs はなぜこの順番？	<a href='https://voicy.jp/channel/1950/277330'>play link</a>	2022/02/11	10	475
heldio	255	#255. カ行子音は c, k, q のどれ？	<a href='https://voicy.jp/channel/1950/276874'>play link</a>	2022/02/10	10	476
heldio	254	#254. 「列」の line と「一列に並べる」の align	<a href='https://voicy.jp/channel/1950/276200'>play link</a>	2022/02/09	10	492
heldio	253	#253. なぜ who はこの綴字で「フー」と読むのか？	<a href='https://voicy.jp/channel/1950/275761'>play link</a>	2022/02/08	10	612
heldio	252	#252. father と murder ― th か d か？	<a href='https://voicy.jp/channel/1950/275238'>play link</a>	2022/02/07	10	472
heldio	251	#251. 複数形 Englishes の出現	<a href='https://voicy.jp/channel/1950/274852'>play link</a>	2022/02/06	10	475
heldio	250	#250. ノルマン征服がなかったら英語はどうなっていたでしょうか？	<a href='https://voicy.jp/channel/1950/274178'>play link</a>	2022/02/05	10	702
heldio	249	#249. 英仏ラの最強の3層構造 ― 朝から匂う shit	<a href='https://voicy.jp/channel/1950/273863'>play link</a>	2022/02/04	10	459
heldio	248	#248. なぜ by and large が「概して」を意味するの？	<a href='https://voicy.jp/channel/1950/273054'>play link</a>	2022/02/03	10	566
heldio	247	#247. queen 「女王」と quean 「あばずれ女」	<a href='https://voicy.jp/channel/1950/272750'>play link</a>	2022/02/02	10	535
heldio	246	#246. インドヨーロッパ祖語の故郷はどこ？	<a href='https://voicy.jp/channel/1950/272166'>play link</a>	2022/02/01	10	729
heldio	245	#245. learn は「学ぶ」ではなく「教える」？	<a href='https://voicy.jp/channel/1950/271644'>play link</a>	2022/01/31	10	541
heldio	244	#244. 婉曲表現の作り方	<a href='https://voicy.jp/channel/1950/271186'>play link</a>	2022/01/30	10	487
heldio	243	#243. The sun shines bright. 副詞？形容詞？	<a href='https://voicy.jp/channel/1950/270681'>play link</a>	2022/01/29	10	498
heldio	242	#242. 強意複数の pities, skies	<a href='https://voicy.jp/channel/1950/270226'>play link</a>	2022/01/28	10	467
heldio	241	#241. tomorrow, today, yesterday	<a href='https://voicy.jp/channel/1950/269629'>play link</a>	2022/01/27	10	542
heldio	240	#240. morning と tomorrow の語源	<a href='https://voicy.jp/channel/1950/269087'>play link</a>	2022/01/26	10	550
heldio	239	#239. th と2文字使ってスとかズってどういうわけ？	<a href='https://voicy.jp/channel/1950/268571'>play link</a>	2022/01/25	10	493
heldio	238	#238. gaseous 「ガス状の」の発音	<a href='https://voicy.jp/channel/1950/268028'>play link</a>	2022/01/24	10	450
heldio	237	#237. 英語における振り仮名 ― 語義説明の技として	<a href='https://voicy.jp/channel/1950/267670'>play link</a>	2022/01/23	10	411
heldio	236	#236. 「インク壺語」 ― ラテン語かぶれの衒学的な単語たち	<a href='https://voicy.jp/channel/1950/267158'>play link</a>	2022/01/22	10	689
heldio	235	#235. quarantine ー 隔離期間は40日	<a href='https://voicy.jp/channel/1950/266548'>play link</a>	2022/01/21	9	442
heldio	234	#234. methinks ー 主語が出てこない構文	<a href='https://voicy.jp/channel/1950/266279'>play link</a>	2022/01/20	10	510
heldio	233	#233. this,that,theなどのthは何を意味するの？	<a href='https://voicy.jp/channel/1950/265740'>play link</a>	2022/01/19	10	844
heldio	232	#232. なぜ thumb には発音されない b があるの？	<a href='https://voicy.jp/channel/1950/264609'>play link</a>	2022/01/18	10	552
heldio	231	#231. なぜ親指は thumb なの？	<a href='https://voicy.jp/channel/1950/264596'>play link</a>	2022/01/17	10	532
heldio	230	#230. very はフランス語から借りてきた形容詞だった！	<a href='https://voicy.jp/channel/1950/262715'>play link</a>	2022/01/16	10	647
heldio	229	#229. every の語源はナント ever ＋ each だった！	<a href='https://voicy.jp/channel/1950/262708'>play link</a>	2022/01/15	10	495
heldio	228	#228. 派生語や複合語ではもとの長母音が短くなる	<a href='https://voicy.jp/channel/1950/262698'>play link</a>	2022/01/14	10	457
heldio	227	#227. なぜ規範文法は18世紀に流行ったの？	<a href='https://voicy.jp/channel/1950/262208'>play link</a>	2022/01/13	10	542
heldio	226	#226. 英語の理屈ぽい文法事項は18世紀の産物	<a href='https://voicy.jp/channel/1950/262195'>play link</a>	2022/01/12	10	603
heldio	225	#225. 接頭辞 dis- は否定なの、強調なの？	<a href='https://voicy.jp/channel/1950/261714'>play link</a>	2022/01/11	10	556
heldio	224	#224. 英語の送り仮名？	<a href='https://voicy.jp/channel/1950/261306'>play link</a>	2022/01/10	10	487
heldio	223	#223. 英語の音読みと訓読み？	<a href='https://voicy.jp/channel/1950/260454'>play link</a>	2022/01/09	10	485
heldio	222	#222. キリスト教伝来は英語にとっても重大事件だった！	<a href='https://voicy.jp/channel/1950/259996'>play link</a>	2022/01/08	10	785
heldio	221	#221. heart の綴字と発音	<a href='https://voicy.jp/channel/1950/259983'>play link</a>	2022/01/07	10	493
heldio	220	#220. hear - heard - heard の活用のナゾ	<a href='https://voicy.jp/channel/1950/259067'>play link</a>	2022/01/06	10	542
heldio	219	#219. between の語源は by two だった！	<a href='https://voicy.jp/channel/1950/258370'>play link</a>	2022/01/05	10	486
heldio	218	#218. shall とwill の使い分け規則はいつからあるの？	<a href='https://voicy.jp/channel/1950/258355'>play link</a>	2022/01/04	10	648
heldio	217	#217. 再帰代名詞を用いた動詞表現の衰退	<a href='https://voicy.jp/channel/1950/257134'>play link</a>	2022/01/03	10	567
